Mode,Time
Experiment,2165.0
Control,1915.0
Experiment,1207.0
,
Control,4046.0
Experiment,3648.0
Experiment,2024.0
Control,3334.0
Experiment,1490.0
Control,7390.0
Control,360.0
Experiment,3904.0
Experiment,2505.0
Control,3142.0
Experiment,1343.0
Control,3746.0
Control,4621.0
Control,1040.0
Control,4991.0
Control,14525.0
Control,1376.0
,
,
Experiment,5214.0
Experiment,3411.0
Control,5099.0
Experiment,2335.0
Control,7032.0
Experiment,1959.0
Control,3160.0
Control,4241.0
Experiment,4581.0
Experiment,725.0
Experiment,1752.0
Experiment,1994.0
Experiment,1414.0
Experiment,2367.0
Control,1542.0
Experiment,3219.0
Experiment,1893.0
Control,3343.0
Control,2196.0
Control,6730.0
Experiment,1551.0
Control,2101.0
Control,3299.0
Control,2541.0
Experiment,2870.0
Control,1361.0
Experiment,332.0
Control,5060.0
Control,1672.0
,
Control,1166.0
,
Control,2714.0
Experiment,2602.0
Experiment,2861.0
Control,1424.0
Experiment,1525.0
Experiment,2044.0
Control,1372.0
Control,1639.0
Experiment,3004.0
Experiment,1983.0
Control,4819.0
Experiment,1847.0
Control,1808.0
Control,3356.0
Experiment,3690.0
Experiment,15257.0
Control,1260.0
Experiment,1505.0
Control,1515.0
Control,2491.0
,
Experiment,3950.0
Control,2822.0
,
Experiment,496.0
Experiment,8413.0
Experiment,4462.0
Control,168.0
Experiment,5216.0
Experiment,3999.0
Experiment,2248.0
Control,4322.0
Control,5908.0
Control,1841.0
Experiment,4509.0
Experiment,2401.0
Control,1533.0
Control,3108.0
Control,983.0
Control,2401.0
Control,1916.0
Experiment,257.0
Control,1208.0
Control,3294.0
Experiment,5089.0
Control,3164.0
Control,1996.0
Experiment,5098.0
Experiment,1827.0
Experiment,2007.0
Control,3258.0
Experiment,3714.0
,
Experiment,3312.0
Control,1811.0
Control,4815.0
Control,1707.0
,
Experiment,2112.0
,
Experiment,5612.0
Control,2749.0
Experiment,2450.0
Experiment,2841.0
Experiment,3098.0
Experiment,3529.0
Control,1728.0
Experiment,7875.0
Experiment,1816.0
Control,2197.0
Experiment,3043.0
Control,2815.0
Experiment,590.0
Control,5561.0
Control,3824.0
Control,1055.0
Control,2716.0
Control,2533.0
Control,2584.0
Control,4031.0
Experiment,3668.0
Control,2054.0
Experiment,3543.0
Experiment,162.0
Control,2470.0
Control,7528.0
Control,1418.0
Experiment,3761.0
Control,6538.0
,
Experiment,4008.0
Experiment,3315.0
,
Control,2239.0
Experiment,2605.0
,
Experiment,141.0
Control,1497.0
Control,2014.0
Control,3121.0
Experiment,3857.0
Experiment,1584.0
Control,1395.0
Experiment,1704.0
Experiment,2222.0
Control,6570.0
Control,2412.0
Experiment,3508.0
Experiment,183.0
Experiment,4151.0
Control,3703.0
Experiment,4017.0
Experiment,956.0
Experiment,1643.0
Control,1790.0
Experiment,1511.0
Control,2638.0
Control,890.0
Control,4569.0
Control,2300.0
Control,628.0
Control,1658.0
Experiment,2222.0
Control,4121.0
Experiment,4016.0
Experiment,2004.0
Experiment,3535.0
Experiment,3196.0
Control,2621.0
Experiment,2797.0
Control,2758.0
Control,2494.0
Experiment,14363.0
Control,2501.0
Control,1055.0
Control,2556.0
Control,1245.0
Experiment,5223.0
Experiment,1279.0
Experiment,6610.0
,
Control,5254.0
Experiment,2390.0
Control,2577.0
Experiment,5396.0
Experiment,5701.0
Experiment,8461.0
Control,2219.0
Experiment,1756.0
Control,2331.0
